['6', 'Heat (1995)', 'Action|Crime|Thriller'] 4.72667383324
['9', 'Sudden Death (1995)', 'Action'] 3.50481317408
['10', 'GoldenEye (1995)', 'Action|Adventure|Thriller'] 4.38849096952
['15', 'Cutthroat Island (1995)', 'Action|Adventure|Romance'] 3.30685453857
['16', 'Casino (1995)', 'Drama|Thriller'] 4.64120556094
['20', 'Money Train (1995)', 'Action'] 3.38545042898
['21', 'Get Shorty (1995)', 'Action|Comedy|Drama'] 4.47184423429
['22', 'Copycat (1995)', 'Crime|Drama|Thriller'] 4.19715677819
['24', 'Powder (1995)', 'Drama|Sci-Fi'] 4.02743760847
['29', 'City of Lost Children, The (1995)', 'Adventure|Sci-Fi'] 4.90998516843
['32', 'Twelve Monkeys (1995)', 'Drama|Sci-Fi'] 4.79368173275
['42', 'Dead Presidents (1995)', 'Action|Crime|Drama'] 3.71672870952
['44', 'Mortal Kombat (1995)', 'Action|Adventure'] 3.63573177946
['61', 'Eye for an Eye (1996)', 'Drama|Thriller'] 3.84795042898
['66', 'Lawnmower Man 2: Beyond Cyberspace (1996)', 'Sci-Fi|Thriller'] 2.51805352176
['70', 'From Dusk Till Dawn (1996)', 'Action|Comedy|Crime|Horror|Thriller'] 4.00440557121
['71', 'Fair Game (1995)', 'Action'] 2.95211709565
['76', 'Screamers (1995)', 'Sci-Fi|Thriller'] 3.70188301325
['79', 'Juror, The (1996)', 'Drama|Thriller'] 3.45321358687
['86', 'White Squall (1996)', 'Adventure|Drama'] 4.24201822559
['89', 'Nick of Time (1995)', 'Action|Thriller'] 3.92218623684
['92', 'Mary Reilly (1996)', 'Drama|Thriller'] 3.18885951989
['95', 'Broken Arrow (1996)', 'Action|Thriller'] 3.72412597757
['98', 'Shopping (1994)', 'Action|Thriller'] 2.84795042898
['100', 'City Hall (1996)', 'Drama|Thriller'] 3.91045042898
['110', 'Braveheart (1995)', 'Action|Drama|War'] 5.08290744904
['111', 'Taxi Driver (1976)', 'Drama|Thriller'] 5.03182139672
['112', 'Rumble in the Bronx (1995)', 'Action|Adventure|Crime'] 4.2918100781
['139', 'Target (1995)', 'Action|Drama'] 4.84795042898
['145', 'Bad Boys (1995)', 'Action'] 4.14353053948
['149', 'Amateur (1994)', 'Crime|Drama|Thriller'] 4.63518447153
['153', 'Batman Forever (1995)', 'Action|Adventure|Comedy|Crime'] 3.49016407119
['160', 'Congo (1995)', 'Action|Adventure|Mystery|Sci-Fi'] 3.08688848208
['161', 'Crimson Tide (1995)', 'Drama|Thriller|War'] 4.57163463951
['163', 'Desperado (1995)', 'Action|Romance|Thriller'] 4.30535783639
['165', 'Die Hard: With a Vengeance (1995)', 'Action|Thriller'] 4.40916255019
['168', 'First Knight (1995)', 'Action|Adventure|Drama|Romance'] 3.79822667207
['169', 'Free Willy 2: The Adventure Home (1995)', 'Adventure|Children|Drama'] 2.86564954402
['170', 'Hackers (1995)', 'Action|Crime|Thriller'] 3.99436787446
['172', 'Johnny Mnemonic (1995)', 'Action|Sci-Fi|Thriller'] 3.42436964295
['173', 'Judge Dredd (1995)', 'Action|Adventure|Sci-Fi'] 3.15646106728
['181', 'Mighty Morphin Power Rangers: The Movie (1995)', 'Action|Children'] 2.46085365479
['185', 'Net, The (1995)', 'Sci-Fi|Thriller'] 3.7178977049
['196', 'Species (1995)', 'Horror|Sci-Fi'] 3.67158679262
['198', 'Strange Days (1995)', 'Action|Crime|Sci-Fi'] 4.14381819758
['204', 'Under Siege 2: Dark Territory (1995)', 'Action'] 3.76913269499
['208', 'Waterworld (1995)', 'Action|Adventure'] 3.47928683451
['217', 'Babysitter, The (1995)', 'Drama|Thriller'] 3.47295042898
['225', 'Disclosure (1994)', 'Drama|Thriller'] 4.02117877544
['227', 'Drop Zone (1994)', 'Action'] 3.52236903363
['229', 'Death and the Maiden (1994)', 'Drama|Thriller'] 4.34795042898
['230', 'Dolores Claiborne (1994)', 'Drama|Thriller'] 4.30067249202
['247', 'Heavenly Creatures (1994)', 'Drama|Fantasy|Romance|Thriller'] 4.71377852122
['251', 'Hunted, The (1995)', 'Action'] 4.12572820676
['259', 'Kiss of Death (1995)', 'Crime|Drama|Thriller'] 3.69108768388
['280', 'Murder in the First (1995)', 'Drama|Thriller'] 4.41870514596
['286', 'Nemesis 2: Nebula (1995)', 'Action|Sci-Fi|Thriller'] 3.84795042898
['288', 'Natural Born Killers (1994)', 'Action|Thriller'] 3.99223614327
['292', 'Outbreak (1995)', 'Action|Drama|Thriller'] 4.11670895558
['293', 'Professional, The (a.k.a. Leon: The Professional) (1994)', 'Crime|Drama|Romance|Thriller'] 4.95412594361
['303', 'Quick and the Dead, The (1995)', 'Action|Adventure|Western'] 3.824026984
['315', 'Specialist, The (1994)', 'Action'] 3.50154520022
['316', 'Stargate (1994)', 'Action|Adventure|Sci-Fi'] 4.33809379816
['327', 'Tank Girl (1995)', 'Action|Comedy|Musical|Sci-Fi'] 3.46247556864
['329', 'Star Trek: Generations (1994)', 'Action|Adventure|Sci-Fi'] 4.22471810575
['332', 'Village of the Damned (1995)', 'Horror|Sci-Fi'] 3.39453427991
['338', 'Virtuosity (1995)', 'Sci-Fi|Thriller'] 3.73030337016
['340', 'War, The (1994)', 'Adventure|Drama'] 4.12175995279
['349', 'Clear and Present Danger (1994)', 'Action|Adventure|Thriller'] 4.57410718063
['350', 'Client, The (1994)', 'Drama|Mystery|Thriller'] 4.24018343869
['353', 'Crow, The (1994)', 'Action|Romance|Thriller'] 4.29345451617
['360', 'I Love Trouble (1994)', 'Action|Comedy'] 3.34401342111
['368', 'Maverick (1994)', 'Action|Comedy|Western'] 4.37164120205
['376', 'River Wild, The (1994)', 'Action|Thriller'] 4.09366471469
['377', 'Speed (1994)', 'Action|Romance|Thriller'] 4.41340497443
['379', 'Timecop (1994)', 'Action|Sci-Fi'] 3.73785868586
['380', 'True Lies (1994)', 'Action|Adventure|Comedy|Romance'] 4.48223614327
['384', 'Bad Company (1995)', 'Action'] 3.74795042898
['387', 'Low Down Dirty Shame, A (1994)', 'Action|Comedy'] 3.5930484682
['390', 'Faster Pussycat! Kill! Kill! (1965)', 'Action|Comedy|Drama'] 4.39032331034
['393', 'Street Fighter (1994)', 'Action'] 2.70509328612
['394', 'Coldblooded (1995)', 'Action'] 4.51461709565
['401', 'Mirage (1995)', 'Action|Thriller'] 3.84795042898
['405', 'Highlander III: The Sorcerer (1994)', 'Action|Sci-Fi'] 2.97110313834
['420', 'Beverly Hills Cop III (1994)', 'Action|Comedy'] 3.35363224716
['423', 'Blown Away (1994)', 'Action|Thriller'] 3.95654771405
['426', 'Body Snatchers (1993)', 'Horror|Sci-Fi|Thriller'] 3.9297348156
['434', 'Cliffhanger (1993)', 'Action|Adventure|Crime'] 3.93249853394
['436', 'Color of Night (1994)', 'Drama|Thriller'] 3.50043269848
['438', 'Cowboy Way, The (1994)', 'Action|Comedy'] 3.47295042898
['442', 'Demolition Man (1993)', 'Action|Sci-Fi'] 3.84013792898
['454', 'Firm, The (1993)', 'Drama|Thriller'] 4.39528052607
['455', 'Free Willy (1993)', 'Adventure|Children|Drama'] 3.43742411319
['457', 'Fugitive, The (1993)', 'Action|Thriller'] 4.95120857434
['459', 'Getaway, The (1994)', 'Action'] 3.68011826115
['462', 'Good Man in Africa, A (1994)', 'Action|Adventure'] 3.49080757184
['463', 'Guilty as Sin (1993)', 'Crime|Drama|Thriller'] 3.59263128004
['464', 'Hard Target (1993)', 'Action|Adventure|Crime|Thriller'] 3.63035783639
['465', 'Heaven & Earth (1993)', 'Action|Drama|War'] 4.16223614327
['466', 'Hot Shots! Part Deux (1993)', 'Action|Comedy|War'] 3.6437619473
['474', 'In the Line of Fire (1993)', 'Action|Thriller'] 4.67305330964
['479', 'Judgment Night (1993)', 'Action'] 3.64494291018
['480', 'Jurassic Park (1993)', 'Action|Adventure|Sci-Fi'] 4.61170932078
['481', 'Kalifornia (1993)', 'Drama|Thriller'] 4.22890280993
['485', 'Last Action Hero (1993)', 'Action|Comedy'] 3.35595042898
['493', 'Menace II Society (1993)', 'Action|Crime|Drama'] 4.45533297932
['494', 'Executive Decision (1996)', 'Action|Thriller'] 4.19410427513
['502', 'Next Karate Kid, The (1994)', 'Action|Children'] 2.78343429995
['504', 'No Escape (1994)', 'Action|Sci-Fi'] 3.80300660876
['507', 'Perfect World, A (1993)', 'Action|Drama'] 4.37067770171
['511', 'Program, The (1993)', 'Action|Drama'] 3.95321358687
['512', "Robert A. Heinlein's The Puppet Masters (1994)", 'Horror|Sci-Fi'] 3.71945880887
['517', 'Rising Sun (1993)', 'Action|Drama|Mystery'] 4.02334309914
['519', 'Robocop 3 (1993)', 'Sci-Fi|Thriller'] 2.78854448839
['522', 'Romper Stomper (1992)', 'Action|Drama'] 4.41421548922
['533', 'Shadow, The (1994)', 'Action'] 3.58194057676
['544', 'Striking Distance (1993)', 'Action'] 3.49136128169
['546', 'Super Mario Bros. (1993)', 'Action|Adventure|Children|Sci-Fi'] 2.72223614327
['547', 'Surviving the Game (1994)', 'Action|Adventure|Thriller'] 3.72698268704
['548', 'Terminal Velocity (1994)', 'Action'] 3.39539568445
['552', 'Three Musketeers, The (1993)', 'Action|Adventure|Comedy'] 4.08802604335
['555', 'True Romance (1993)', 'Action|Crime|Romance'] 4.77652185755
['558', 'Pagemaster, The (1994)', 'Action|Adventure|Animation|Children|Fantasy'] 3.55165413268
['589', 'Terminator 2: Judgment Day (1991)', 'Action|Sci-Fi|Thriller'] 4.90646307526
['590', 'Dances with Wolves (1990)', 'Adventure|Drama|Western'] 4.76318130424
['591', 'Tough and Deadly (1995)', 'Action|Drama|Thriller'] 2.84795042898
['592', 'Batman (1989)', 'Action|Adventure|Crime|Drama'] 4.44892876581
['593', 'Silence of the Lambs, The (1991)', 'Drama|Thriller'] 5.19977354768
['608', 'Fargo (1996)', 'Crime|Drama|Thriller'] 5.10262611541
['610', 'Heavy Metal (1981)', 'Action|Adventure|Animation|Horror|Sci-Fi'] 4.39487599532
['611', 'Hellraiser: Bloodline (1996)', 'Action|Horror|Sci-Fi'] 3.3201726512
['614', 'Loaded (1994)', 'Drama|Thriller'] 3.51461709565
